Name,State,Abbreviation,Location,Funding,Founded
Adekunle Ajasin University,Ondo,AAUA,Akungba-Akoko,State,1999
"Federal University of Agriculture, Abeokuta",Ogun,FUNAAB,Abeokuta,Federal,1988
Obafemi Awolowo University,Osun,OAU,Ile Ife,Federal,1961
Abia State University,Abia,ABSU,Uturu,State,1981
Joseph Ayo Babalola University,Osun,JABU,Ikeji-Arakeji,Private,2006
Redeemer's University Nigeria,Osun,RUN,Ede,Private,2005
Adeleke University,Osun,AUE,Ede,Private,2010
Afe Babalola University,Ekiti,ABUAD,Ado-Ekiti,Private,2009
Akwa Ibom State University (formerly Akwa Ibom State University of Science and Technology),Akwa Ibom,AKSU,Uyo,State,2010
Bakassi Technical University,Akwa Ibom,BTU,Uyo,Private,2000
American University of Nigeria,Adamawa,AUN,Yola,Private,2005
Abubakar Tafawa Balewa University,Bauchi,ATBU,Bauchi,Federal,1980
Adamawa State University,Adamawa,ADSU,Mubi,State,2002
Achievers University,Ondo,AC,Owo,Private,2007
Ahmadu Bello University,Kaduna,ABU,Zaria,Federal,1962
Al-Hikmah University,Kwara,AHU,Ilorin,Private,2005
Ambrose Alli University,Edo,AAU,Ekpoma,State,1981
Anambra State University formerly Anambra State University Of Science And Technology,Anambra,ANSU,Uli,State,2000
Ajayi Crowther University,Oyo,ACU,Oyo,Private,2005 (1)
Bayero University,Kano,BUK,Kano,Federal,1977
Babcock University,Ogun,BU,Ilishan-Remo,Private,1959
Bells University of Technology,Ogun,BUT,Ota,Private,2004
Benson Idahosa University,Edo,BIU,Benin City,Private,2002
Benue State University,Benue,BSU,Makurdi,State,1992
ECWA Bingham University,Nassarawa,BU,New Karu,Private,2005
Bowen University,Osun,BU,Iwo,Private,2002
Bukar Abba Ibrahim University,Yobe,YSU,Damaturu,State,2006
CETEP City University,Lagos,CU,Lagos,Private,2005
Caleb University,Lagos,CUl,Ikorodu,Private,2008
Caritas University,Enugu,CU,Enugu,Private,2004
City University (Lagos)|City University,Lagos,CU,Yaba,Private,
International Open Institute,Lagos,IOI,Ikorodu,private,2017
National Open University of Nigeria,Lagos,NOUN,Victoria Island,Federal,1983
City University of Technology,Kaduna,CUT,Kaduna,Private,1956
Covenant University,Ogun,CU,Ota,Private,2002
Crawford University,Ogun,CU,"Faith City, Igbesa",Private,2005
Crawford University,Ekiti,CU,Oye-Ekiti Campus,Private,2005
Crescent University,Ogun,CU,Abeokuta,Private,2005
Cross River University of Technology,Cross River,CRUTECH,"Ekpo-Abasi, Calabar",State,2002
"Delta State University, Abraka",Delta,DELSU,Abraka,State,1992
"Delta State University of Science and Technology, Ozoro",Delta,,Ozoro,State,2021
Ebonyi State University,Ebonyi,EBSU,Abakaliki,State,1996
Edo State University Uzairue,Edo,EDSU,Uzairue,State,2016
"Evangel University, Akaeze",Ebonyi,EUA,Akaeze,Private,2012
Elizade University,Ondo,,Ilara-Mokin,Private,2012
"Fountain University, Osogbo",Osun,FUO,Osogbo,Private,2007
Federal University Oye-Ekiti,Ekiti,FUOYE,Oye-Ekiti,Federal,2011
"Federal University, Dutsin-Ma",Katsina,FUDM,Katsina,Federal,2011
Federal University of Technology Akure,Ondo,FUTA,Akura,Federal,1981
"Federal University Ndufe Alike, Ikwo",Ebonyi,FUNAI,Ikwo,Federal,2011
Federal University of Technology Owerri,Imo,FUTO,Owerri,Federal,1981
Gregory University,Abia,,Uturu,Private,2012
Godfrey Okoye University,Enugu,GOU,Enugu,Private,2009
Igbinedion University,Edo,IUO,Okada,Private,1999
Kings University (Odeomu),Osun State,KU,Odeomu,Private,2015
Koladaisi University,Oyo,KU,"Ibadan, Oyo",State,2015
Oduduwa University,Osun,OUI,"Ipetumodu, Ile-Ife",Private,2009
Landmark University,Kwara,LU,Omu-Aran,Private,2011
Michael and Cecilia Ibru University,Delta,MCIU,"Agbara-Otor, Ughelli North",Private,2015
Lagos State University,Lagos,LASU,Ojo,State,1983
Mewar International University,Nasarawa,MU Nigeria,Masaka,Private,2021 [2]
Nasarawa State University,Nassarawa,NSUK,Keffi,State,2001
Nigerian Turkish Nile University,FCT,NTNU,Abuja,Private,1998
"Nnamdi Azikiwe University, Awka",Anambra,NAU,Awka,Federal,1992
Plateau State University Bokkos,Plateau,PLASU,Bokkos,State,2005
Skyline University Nigeria,Kano,SUN,Kano,Private,2018
Taraba State University,Taraba,,Jalingo,State,2011
University of Benin,Edo,UNIBEN,Benin City,Federal,1970
University of Calabar,Cross River,UNICAL,Calabar,Federal,1975
University of Ibadan,Oyo,UI,Ibadan,Federal,1948
University of Jos,Plateau,UJ,Jos,Federal,1971
Umaru Musa Yar'adua University Katsina,Katsina,UMYU,Katsina,State,2006
University of Lagos,Lagos,UNILAG,Lagos,Federal,1962
University of Port Harcourt,Rivers,UNIPORT,Port Harcourt,Federal,1975
"University of Nigeria, Nsukka",Enugu,UNN,Nsukka,Federal,1955
Veritas University (Catholic University of Nigeria) Abuja,FCT,VUNA,Bwari,Private,2007
"Westland University, Iwo",Osun,WUI,Iwo,Private,2019
"Federal University, Gusau",Zamfara,FUGUS,Gusau,Federal,2013
